pool_id,ticker,name,stake_lovelace,stake_ada,relay_hostname,relay_ip,latitude,longitude,city,country
pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,FMD,Fancy Mango Dirac,70020644693990,70020644.693990000000,dbe22510.cardano-relay.bison.run,"","","","",""
pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,"","",70018899873952,70018899.873952000000,94cc7304.cardano-relay.bison.run,"","","","",""
pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,FBA,Fancy Burgundy Archimedes,70018847642408,70018847.642408000000,a5f2af9f.cardano-relay.bison.run,"","","","",""
pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,N/A,n/a,70017452130421,70017452.130421000000,d89eeea0.cardano-relay.herd.run,"","","","",""
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,FIKA,FIKA Pool,70011504089089,70011504.089089000000,relay1.nihaocardano.com,"","","","",""
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,FIKA,FIKA Pool,70011504089089,70011504.089089000000,relay2.nihaocardano.com,"","","","",""
pool1fpvs8h5q5kwpz4k2yd0vw90dgdxacr3ef508tzzewm0kysdt4eq,SBP2,StakeBowlPool2,70000010907070,70000010.907070000000,"",35.75.32.253,"","","",""
pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,N/A,n/a,69220357818634,69220357.818634000000,50809bee.cardano-relay.herd.run,"","","","",""
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,dataDyne.earth,69076703778832,69076703.778832000000,g5.datadyne.earth,"","","","",""
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,dataDyne.earth,69076703778832,69076703.778832000000,drcaroll.datadyne.earth,"","","","",""
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,dataDyne.earth,69076703778832,69076703.778832000000,lucerne.datadyne.earth,"","","","",""
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,Kiln,68856589231130,68856589.231130000000,relay-kiln-6-1.cardano.mainnet.kiln.fi,"","","","",""
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,Kiln,68856589231130,68856589.231130000000,relay-kiln-6-0.cardano.mainnet.kiln.fi,"","","","",""
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,Kiln,68856589231130,68856589.231130000000,relay-kiln-6-2.cardano.mainnet.kiln.fi,"","","","",""
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,1 Percent Pool #0 (v1),68301218484731,68301218.484731000000,r1.1percentpool.eu,"","","","",""
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,1 Percent Pool #0 (v1),68301218484731,68301218.484731000000,r2.1percentpool.eu,"","","","",""
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,Aichi Stake Pool,68139138098257,68139138.098257000000,relay3-li.aichi-stakepool.com,"","","","",""
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,Aichi Stake Pool,68139138098257,68139138.098257000000,relay1-dl.aichi-stakepool.com,"","","","",""
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,Aichi Stake Pool,68139138098257,68139138.098257000000,relay2-jp.aichi-stakepool.com,"","","","",""
